,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
BKNG,15,8.22,13.33,1.07,,2023/8/3,,2023/8/4,03/08,2884.92,04/08,2839.91,3535.7,Completed,Profit,0.00,,FALSE,-45.01,0.00,,,,,,
OGN,4,101.86,75.00,8.88,,2023/8/3,,2023/8/7,03/08,21.81,07/08,21.8,13.91,Completed,Profit,0.45,,TRUE,-0.01,45.00,,,,,,
WDAY,14,182.42,35.71,1.59,,2023/8/3,,2023/8/15,03/08,229.22,15/08,228.11,272.57,Completed,Profit,4.44,,TRUE,-1.11,4.00,,,,,,
CMI,10,213.99,40.00,2.26,,2023/8/4,,2023/8/29,04/08,242.64,29/08,232.62,236.99,Completed,Profit,40.08,TRUE,TRUE,-10.02,4.00,,,,,,
LIN,9,74.16,33.33,1.43,,2023/8/4,,2023/8/25,04/08,380.75,25/08,377.94,410.74,Completed,Profit,5.62,,TRUE,-2.81,2.00,,,,,,
MMM,5,186.41,60.00,6.28,,2023/8/4,,2023/8/28,04/08,107.19,28/08,104.12,106.33,Completed,Profit,27.63,,TRUE,-3.07,9.00,,,,,,
ROST,9,11.20,33.33,1.05,,2023/8/4,,2023/8/10,04/08,112.59,10/08,113.03,136.42,Completed,Loss,(3.52),,FALSE,0.44,8.00,,,,,,
SPG,12,66.82,33.33,1.25,,2023/8/7,,2023/8/29,07/08,119.66,29/08,111.67,142.3,Completed,Profit,63.92,,TRUE,-7.99,8.00,,,,,,
NTRS,8,51.13,62.50,1.53,,2023/8/8,,2023/8/10,08/08,80.85,10/08,79,83.84,Completed,Profit,22.20,,TRUE,-1.85,12.00,,,,,,
AXON,14,270.59,28.57,2.04,2023/8/9,,2023/8/17,,09/08,175.73,17/08,200.78,259.03,Completed,Profit,125.25,TRUE,TRUE,25.05,5.00,,,,,,
WDC,11,223.54,45.46,1.70,,2023/8/11,,2023/8/28,11/08,42.15,28/08,41.41,52.66,Completed,Profit,17.02,TRUE,TRUE,-0.74,23.00,,,,,,
AON,17,236.46,41.18,1.94,2023/8/14,,2023/8/17,,14/08,322.26,17/08,321.28,291.67,Completed,Loss,(2.94),,FALSE,-0.98,3.00,,,,,,
