,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
229,HON,.NDX.SPX.DJI,7.0,-63.44,14.286,0.094,False,False,False,False
230,HPE,.SPX,9.0,-225.92,11.111,0.18,False,False,False,False
231,HPQ,.SPX,5.0,-201.35,20.0,0.169,False,False,False,False
232,HRL,.SPX,12.0,117.5,58.333,3.236,False,False,False,False
233,HSIC,.SPX,11.0,148.18,45.455,1.736,False,False,False,False
234,HST,.SPX,11.0,191.18,54.545,2.121,False,False,False,False
235,HSY,.SPX,11.0,-122.57,27.273,0.376,False,False,False,False
236,HUM,.SPX,12.0,239.91,50.0,3.019,False,False,False,False
237,HWM,.SPX,10.0,316.97,40.0,2.261,False,False,False,False
238,IBM,.SPX.DJI,11.0,110.833,36.364,2.582,False,False,False,False
239,ICE,.SPX,10.0,345.79,50.0,3.902,False,False,False,False
240,IDXX,.NDX.SPX,14.0,77.15,42.857,1.277,False,False,False,False
241,IEX,.SPX,9.0,-17.98,22.222,0.877,False,False,False,False
242,IFF,.SPX,11.0,58.04,45.455,1.426,False,False,False,False
243,ILMN,.NDX.SPX,10.0,6.0,40.0,1.027,False,False,False,False
244,INCY,.SPX,8.0,497.67,50.0,5.511,False,False,False,False
245,INTC,.NDX.SPX.DJI,10.0,178.26,40.0,1.979,False,False,False,False
246,INTU,.NDX.SPX,7.0,-164.2,28.571,0.274,False,False,False,False
247,INVH,.SPX,16.0,120.54,37.5,1.473,False,False,False,False
248,IP,.SPX,8.0,-119.539,25.0,0.4,False,False,False,False
249,IPG,.SPX,14.0,196.14,50.0,1.62,False,False,False,False
250,IQV,.SPX,9.0,-71.4,22.222,0.662,False,False,False,False
251,IR,.SPX,12.0,-127.31,25.0,0.524,False,False,False,False
252,IRM,.SPX,11.0,215.37,54.545,2.427,False,False,False,False
253,ISRG,.NDX.SPX,10.0,-211.683,10.0,0.114,False,False,False,False
254,IT,.SPX,7.0,-265.52,14.286,0.021,False,False,False,False
255,ITW,.SPX,10.0,-84.86,30.0,0.629,False,False,False,False
256,IVZ,.SPX,10.0,125.82,50.0,1.841,False,False,False,False
257,J,.SPX,11.0,-235.55,9.091,0.124,False,False,False,False
258,JBHT,.SPX,6.0,-45.04,16.667,0.553,False,False,False,False
259,JCI,.SPX,10.0,-256.14,10.0,0.023,False,False,False,False
260,JD,.NDX,10.0,-354.66,50.0,0.206,False,False,False,False
261,JKHY,.SPX,6.0,32.79,33.333,1.339,False,False,False,False
262,JNJ,.SPX.DJI,8.0,94.1,62.5,3.937,False,False,False,False
263,JNPR,.SPX,12.0,-314.36,8.333,0.139,False,False,False,False
264,JPM,.SPX.DJI,12.0,77.26,41.667,1.344,False,False,False,False
265,K,.SPX,5.0,-31.8,20.0,0.439,False,False,False,False
266,KDP,.NDX.SPX,7.0,80.07,42.857,2.445,False,False,False,False
267,KEY,.SPX,9.0,-312.42,22.222,0.063,False,False,False,False
268,KEYS,.SPX,5.0,60.66,60.0,1.856,False,False,False,False
269,KHC,.NDX.SPX,9.0,-246.795,22.222,0.148,False,False,False,False
270,KIM,.SPX,8.0,-104.04,12.5,0.524,False,False,False,False
271,KLAC,.NDX.SPX,15.0,-48.72,20.0,0.908,False,False,False,False
272,KMB,.SPX,7.0,67.76,42.857,2.524,False,False,False,False
273,KMI,.SPX,8.0,-159.66,12.5,0.348,False,True,False,False
274,KMX,.SPX,8.0,297.94,37.5,1.868,False,False,False,False
275,KO,.SPX.DJI,9.0,-181.48,11.111,0.047,False,False,False,False
276,KR,.SPX,8.0,74.48,62.5,1.766,False,False,False,False
277,L,.SPX,13.0,-64.54,15.385,0.746,False,False,False,False
278,LCID,.NDX,9.0,23.84,22.222,1.084,False,False,False,False
279,LDOS,.SPX,10.0,341.1,60.0,5.473,False,False,False,False
280,LEN,.SPX,14.0,-587.84,21.429,0.068,False,False,False,False
281,LH,.SPX,7.0,-155.241,14.286,0.051,False,False,False,False
282,LHX,.SPX,9.0,209.86,55.556,10.729,False,False,False,False
283,LIN,.SPX,9.0,74.16,33.333,1.426,False,False,False,False
284,LKQ,.SPX,7.0,-175.04,14.286,0.206,False,False,False,False
285,LLY,.SPX,8.0,-8.39,12.5,0.939,False,False,False,False
286,LMT,.SPX,9.0,80.28,22.222,2.067,False,False,False,False
287,LNC,.SPX,9.0,221.08,33.333,1.837,False,False,False,False
288,LNT,.SPX,6.0,-47.36,16.667,0.153,False,True,False,False
289,LOW,.SPX,9.0,-4.11,55.556,0.975,False,False,False,False
290,LRCX,.NDX.SPX,13.0,-13.26,23.077,0.977,False,False,False,False
291,LULU,.NDX,15.0,463.17,60.0,2.69,False,False,False,False
292,LUV,.SPX,12.0,236.33,41.667,1.747,False,False,False,False
293,LVS,.SPX,7.0,157.17,57.143,1.901,False,False,False,False
294,LW,.SPX,5.0,-0.54,20.0,0.997,False,False,False,False
295,LYB,.SPX,13.0,-147.3,38.462,0.571,False,False,False,False
296,LYV,.SPX,8.0,-132.64,25.0,0.431,False,False,False,False
297,MA,.SPX,7.0,-225.31,14.286,0.0,False,False,False,False
298,MAA,.SPX,9.0,62.1,44.444,1.279,False,False,False,False
299,MAR,.NDX.SPX,12.0,425.8,33.333,2.719,False,False,False,False
300,MAS,.SPX,9.0,-208.22,33.333,0.297,False,False,False,False
301,MCD,.SPX.DJI,9.0,107.17,44.444,2.238,False,False,False,False
302,MCHP,.NDX.SPX,15.0,-119.995,33.333,0.715,False,False,False,False
303,MCK,.SPX,8.0,-85.5,12.5,0.403,False,False,False,False
304,MCO,.SPX,12.0,-186.24,25.0,0.227,False,False,False,False
305,MDLZ,.NDX.SPX,9.0,-26.79,22.222,0.77,False,False,False,False
306,MDT,.SPX,9.0,-243.57,11.111,0.095,False,False,False,False
307,MELI,.NDX,14.0,-1071.17,0.0,0.0,False,False,False,False
308,MET,.SPX,10.0,-230.38,10.0,0.218,False,False,False,False
309,META,.NDX.SPX,5.0,-178.25,20.0,0.174,False,False,False,False
310,MGM,.SPX,7.0,-167.85,14.286,0.01,False,False,False,False
311,MHK,.SPX,9.0,-357.89,11.111,0.077,False,True,False,False
312,MKC,.SPX,12.0,257.865,66.667,2.292,False,False,False,False
313,MKTX,.SPX,11.0,147.97,45.455,1.991,False,False,False,False
314,MLM,.SPX,14.0,-325.64,21.429,0.374,False,False,False,False
315,MMC,.SPX,12.0,-189.19,8.333,0.099,False,False,False,False
316,MMM,.SPX.DJI,5.0,186.41,60.0,6.275,False,False,False,False
317,MNST,.NDX.SPX,10.0,-151.885,20.0,0.042,False,False,False,False
318,MO,.SPX,10.0,111.25,50.0,2.119,False,False,False,False
319,MOH,.SPX,9.0,140.31,44.444,1.628,False,False,False,False
320,MOS,.SPX,13.0,-278.93,30.769,0.483,False,False,False,False
321,MPC,.SPX,11.0,-151.29,9.091,0.506,False,False,False,False
322,MPWR,.SPX,10.0,-83.98,40.0,0.686,False,False,False,False
323,MRK,.SPX.DJI,8.0,169.535,50.0,3.177,False,False,False,False
324,MRNA,.NDX.SPX,12.0,265.07,33.333,1.821,False,False,False,False
325,MRO,.SPX,7.0,-41.37,28.571,0.853,False,False,False,False
326,MRVL,.NDX,11.0,-148.77,36.364,0.532,False,False,False,False
327,MS,.SPX,10.0,222.96,20.0,2.118,False,True,False,False
328,MSCI,.SPX,8.0,-213.4,0.0,0.0,False,False,False,False
329,MSFT,.NDX.SPX.DJI,14.0,111.38,50.0,1.906,False,False,False,False
330,MSI,.SPX,11.0,-119.63,18.182,0.479,False,False,False,False
331,MTB,.SPX,10.0,174.06,40.0,2.05,False,False,False,False
332,MTCH,.SPX,15.0,177.385,33.333,1.386,False,False,False,False
333,MTD,.SPX,15.0,-325.65,20.0,0.344,False,False,False,False
334,MU,.NDX.SPX,14.0,-150.86,21.429,0.624,False,False,False,False
335,NCLH,.SPX,11.0,-128.05,27.273,0.713,False,False,False,False
336,NDAQ,.SPX,8.0,-181.933,12.5,0.105,False,False,False,False
337,NDSN,.SPX,13.0,-40.32,15.385,0.835,False,False,False,False
338,NEE,.SPX,13.0,48.275,38.462,1.248,False,False,False,False
339,NEM,.SPX,9.0,-130.7,33.333,0.616,False,False,False,False
340,NFLX,.NDX.SPX,12.0,-184.41,25.0,0.297,False,False,False,False
341,NI,.SPX,7.0,-90.09,0.0,0.0,False,False,False,False
342,NKE,.SPX.DJI,9.0,2.05,33.333,1.016,False,False,False,False
343,NOC,.SPX,3.0,8.11,33.333,1.197,False,False,False,False
344,NOW,.SPX,7.0,-228.22,0.0,0.0,False,False,False,False
345,NRG,.SPX,11.0,108.61,54.545,2.915,False,False,False,False
346,NSC,.SPX,11.0,-25.02,18.182,0.895,False,False,False,False
347,NTAP,.SPX,8.0,-105.56,25.0,0.605,False,False,False,False
348,NTRS,.SPX,8.0,51.13,62.5,1.525,False,False,False,False
349,NUE,.SPX,9.0,54.99,33.333,1.219,False,False,False,False
350,NVDA,.NDX.SPX,9.0,-65.298,22.222,0.822,False,False,False,False
351,NVR,.SPX,11.0,0.0,0.0,,False,False,False,False
352,NWL,.SPX,11.0,-93.69,27.273,0.739,False,False,False,False
353,NWS,.SPX,10.0,155.56,10.0,1.908,False,False,False,False
354,NWSA,.SPX,6.0,241.25,33.333,4.897,False,False,False,False
355,NXPI,.NDX.SPX,12.0,-291.74,8.333,0.263,False,False,False,False
356,O,.SPX,7.0,-3.421,42.857,0.955,False,True,False,False
357,ODFL,.NDX.SPX,13.0,-169.077,46.154,0.315,False,False,False,False
358,OGN,.SPX,4.0,101.86,75.0,8.884,False,False,False,False
359,OKE,.SPX,16.0,-41.82,31.25,0.891,False,False,False,False
360,OMC,.SPX,11.0,-137.23,18.182,0.37,False,False,False,False
361,ON,.NDX.SPX,18.0,-420.28,27.778,0.494,False,False,False,False
362,ORCL,.SPX,9.0,-279.66,22.222,0.115,False,False,False,False
363,ORLY,.NDX.SPX,8.0,-79.7,12.5,0.517,False,False,False,False
364,OTIS,.SPX,6.0,-8.22,50.0,0.894,False,False,False,False
365,OXY,.SPX,5.0,635.86,60.0,6.215,False,False,False,False
366,PANW,.NDX.SPX,8.0,765.02,87.5,17.97,False,False,False,False
367,PARA,.SPX,8.0,-342.63,12.5,0.098,False,False,False,False
